11:06:53 INFO  : Registering command handlers for SDK TCF services
11:06:59 INFO  : Launching XSCT server: xsct -n -interactive /home/skoppula/xilinx_projects/zybo_7020_test/matrixmult2/matrixmult2.sdk/temp_xsdb_launch_script.tcl
11:07:02 INFO  : XSCT server has started successfully.
11:07:02 INFO  : Successfully done setting XSCT server connection channel  
11:07:02 INFO  : Successfully done setting SDK workspace  
11:07:02 INFO  : Processing command line option -hwspec /home/skoppula/xilinx_projects/zybo_7020_test/matrixmult2/matrixmult2.sdk/design_1_wrapper.hdf.
11:08:39 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
11:08:39 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo Z7 210351A6CAC6A" && level==0} -index 1' command is executed.
11:08:42 INFO  : FPGA configured successfully with bitstream "/home/skoppula/xilinx_projects/zybo_7020_test/matrixmult2/matrixmult2.sdk/design_1_wrapper_hw_platform_0/design_1_wrapper.bit"
11:09:34 INFO  : ps7_init is completed.
11:09:34 INFO  : ps7_post_config is completed.
11:09:34 INFO  : Processor reset is completed for ps7_cortexa9_0
11:13:37 INFO  : Processor reset is completed for ps7_cortexa9_0
